,e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,packer,packer_type,E_text,E_data,filesize,E_file,class,fileinfo
35,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3195585421005781,-0.15897744924926058,-0.16525095987479674,-0.2306752052723311,-0.1636622188632721,-0.25501419007611836,1,1,1,5,0,-0.09939093875678243,0,5,0,1,1,-0.26788536203843405,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.3133206735969061,0.7135060089113782,0.0,
36,144,3,4,0.1961161351381838,0.19611613513818388,280,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14,16,-0.27633121439933994,-0.1540988277342156,-0.16525095987479674,-0.25089887643374453,-0.1636622188632721,-0.23418837151105507,1,1,1,5,1,-0.16315859055321313,0,5,1,1,1,-0.41224669394673963,2,1,0,1,0,0,0,0,1,0,0,1.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,0.17828786653330672,0.0,0.0,NoPacker,0.0,0.0,-0.4611282278347668,-1.799573371288296,0.0,
37,144,3,4,0.1961161351381838,0.19611613513818388,216,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.34305165498168577,-0.1529916228513685,-0.16428127209069038,-0.247928924123552,-0.1636622188632721,-0.26726467158497913,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,3.016493605083325,2,1,0,1,0,1,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,3.0074305719500773,0.7325195699295737,0.0,
38,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3361603418698942,-0.1613648597778996,-0.16525095987479674,-0.24006950524366957,-0.1636622188632721,-0.2635895271323209,1,1,1,1,0,-0.09939093875678243,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.36809748814059423,0.7258223706384584,0.0,
39,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3336544098292427,-0.16146866023566653,-0.16525095987479674,-0.23874276425264096,-0.1636622188632721,-0.26236447898143483,1,1,1,1,0,-0.09939093875678243,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.4578613774800472,0.5765868506893276,0.0,
40,144,3,4,0.1961161351381838,0.19611613513818388,264,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,20,-0.3010772933007734,-0.07458767708475912,-0.16525095987479674,-0.24599662933157224,-0.1636622188632721,-0.24643885301991583,1,1,1,5,1,-0.16315859055321313,0,5,1,1,1,-0.3612602304938316,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.4089260217004346,0.6123430237663857,0.0,
41,144,3,4,0.1961161351381838,0.19611613513818388,216,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.34430462100201153,-0.16202226267709005,0.01317159240077843,-0.13003642373174593,0.014721700248780514,-0.15578528985434614,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,0.012169145619221606,2,1,0,1,0,1,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,UPXv20MarkusLaszloReiser,0.0,0.0,-0.030441195001784122,0.73309347373655,0.0,
42,144,3,4,0.1961161351381838,0.19611613513818388,128,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,-0.32676309671745113,-0.16233366405039082,-0.16525095987479674,-0.23361290195292522,-0.16172326322074979,-0.25746428637789054,1,1,1,4,0,-0.16315859055321313,0,6,0,1,1,-0.4266063921330201,2,1,0,1,0,1,0,0,1,1,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,NETexecutableMicrosoft,0.0,0.0,-0.470641294626009,-0.819229174153892,0.0,
43,144,3,4,0.1961161351381838,0.19611613513818388,264,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,-0.24406733937595207,-0.14465298607742638,-0.16525095987479674,-0.21642156427215406,-0.1636622188632721,-0.21948779370042215,1,1,1,5,1,-0.16315859055321313,0,5,1,1,1,0.19827041192391426,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,0.17828786653330672,0.0,0.0,NoPacker,0.0,0.0,0.15875796730507127,0.7146717040816232,0.0,
44,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3364735833749756,-0.16122645916754372,-0.16525095987479674,-0.24013158211572688,-0.1636622188632721,-0.2635895271323209,1,1,1,1,0,-0.09939093875678243,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.42674761375013387,0.7049529672517459,0.0,
